SampID,Samples,Tissue,1_5-anhydroglucitol,1-monoolein,1-monopalmitin,1-monostearin,2_3-dihydroxypyridine,2_5-dihydroxypyrazine NIST,2-deoxytetronic acid NIST,2-hydroxybutanoic acid,2-hydroxyglutaric acid,2-ketoisocaproic acid,3-hydroxybutyric acid,3-phosphoglycerate,5-aminovaleric acid,acetophenone NIST,adenosine,adenosine-5-monophosphate,adipic acid,alanine,alpha-ketoglutarate,aminomalonate,arachidic acid,arachidonic acid,asparagine,aspartic acid,azelaic acid,behenic acid,benzoic acid,beta-alanine,capric acid,caprylic acid,cholesterol,cis-gondoic acid,citric acid,citrulline,conduritol-beta-epoxide,creatinine,cysteine,cystine,cytidine-5-monophosphate NIST,dehydroabietic acid,dodecanol,epsilon-caprolactam,erythritol,ethanolamine,fructose,fucose,fumaric acid,gluconic acid,glucose,glucose-6-phosphate,glutamic acid,glutamine,glutaric acid,glyceric acid,glycerol,glycerol-alpha-phosphate,glycine,glycolic acid,guanine,guanosine,heptadecanoic acid,hexitol,hexuronic acid,histidine,hydroxycarbamate NIST,hydroxylamine,hypoxanthine,inosine,isoheptadecanoic acid NIST,isoleucine,isothreonic acid,lactamide,lauric acid,leucine,linoleic acid,lysine,lyxitol,malic acid,maltose,maltotriose,mannose,methionine,myo-inositol,myristic acid,nicotinamide,N-methylalanine,nonadecanoic acid,octadecanol,oleic acid,ornithine,oxalic acid,oxoproline,palmitic acid,palmitoleic acid,p-cresol,pelargonic acid,pentadecanoic acid,phenylalanine,phosphoethanolamine,proline,propane-1_3-diol NIST,pseudo uridine,putrescine,pyrophosphate,pyruvic acid,ribose,salicylaldehyde,serine,sorbitol,spermidine,squalene,stearic acid,succinic acid,sucrose,sulfuric acid,taurine,threonic acid,threonine,tocopherol alpha-,tocopherol beta NIST,tocopherol gamma-,trans-4-hydroxyproline,tryptophan,tyrosine,UDP-glucuronic acid,UDP-N-acetylglucosamine,uracil,urea,uric acid,uridine,valine,xanthine,xylitol,elaidic acid,"2,3-dihydroxypyridine","1,5-anhydroglucitol","2,5-dihydroxypyrazine NIST"
1,SAT_1,SAT,1046.0377,390.566,337.3585,313.5849,112.0755,285.283,369.0566,1744.5283,120,782.2642,7935.8491,227.5472,134.717,1110.566,175.4717,254.717,798.1132,10678.8679,105.283,127.9245,2158.8679,679.2453,407.5472,1995.8491,101.8868,589.8113,1906.4151,187.9245,74.717,695.0943,11805.283,73.5849,1003.0189,227.5472,100.7547,2791.6981,544.5283,133.5849,270.566,319.2453,387.1698,269.434,112.0755,2609.434,242.2642,139.2453,331.6981,88.3019,9636.2264,93.9623,2771.3208,3512.8302,86.0377,517.3585,5416.9811,1238.4906,4117.3585,367.9245,160.7547,152.8302,2966.0377,3216.2264,149.434,720,270.566,8313.9623,1144.5283,1330.1887,619.2453,3269.434,107.5472,221.8868,1856.6038,5723.7736,511.6981,4861.1321,307.9245,245.6604,1368.6792,81.5094,1261.1321,550.1887,31451.3207,8438.4906,277.3585,1441.1321,362.2642,244.5283,3075.8491,3015.8491,220.7547,19691.3207,39579.6226,1103.7736,45045.283,1096.9811,2652.4528,1646.0377,93.9623,2744.1509,1058.4906,195.8491,221.8868,890.9434,371.3208,254.717,404.1509,5135.0943,190.1887,209.434,355.4717,234918.1132,369.0566,198.1132,103.0189,3504.9057,475.4717,1858.8679,5136.2264,242.2642,946.4151,463.0189,1063.0189,2796.2264,204.9057,106.4151,267.1698,16445.6604,606.7925,430.1887,8233.5849,136.9811,272.8302,13176,71,999,941
10,SAT_10,SAT,275.8413,3378.6058,201.0216,128.0048,81.1298,134.3149,243.3894,563.4014,99.1587,904.1466,2100.3606,100.9615,118.9904,1628.9062,74.8197,99.1587,346.1538,4820.012,126.2019,94.6514,1081.7308,253.3053,172.1755,722.9567,76.6226,328.125,2184.1947,153.2452,274.9399,871.6947,4697.4159,79.3269,341.6466,96.4543,78.4255,2354.5673,110.8774,79.3269,72.1154,194.7115,198.3173,207.3317,73.0168,625.601,201.9231,108.1731,256.9111,234.375,2342.8486,77.524,1557.6923,1906.5505,108.1731,311.899,5420.3726,820.3125,2027.3438,136.1178,50.4808,108.1731,1421.5745,1672.1755,80.2284,94.6514,173.9784,5789.9639,505.7091,183.8942,422.7764,1650.5409,73.9183,149.6394,1502.7043,1664.0625,230.7692,484.976,155.9495,155.0481,352.4639,107.2716,178.4856,169.4712,23989.1827,4511.7188,227.1635,603.0649,327.2236,205.5288,1004.2067,528.2452,78.4255,8801.6827,19015.9255,574.2188,29745.7933,6298.3774,896.0337,530.9495,117.1875,1321.5144,503.0048,124.399,146.9351,1243.0889,133.4135,105.4688,364.1827,1623.4976,155.0481,80.2284,147.8365,106521.6346,70.3125,100.9615,301.9832,590.4447,237.0793,567.0072,2062.5,206.4303,630.1082,357.8726,246.0938,739.1827,112.6803,73.9183,234.375,12351.5625,218.149,328.125,2339.2428,107.2716,128.9062,3950,169,195,171
11,SAT_11,SAT,361.2619,252.3745,282.9037,91.5875,102.7815,281.886,370.4206,1899.9322,149.5929,921.981,11699.7965,425.3731,87.517,1344.3012,82.4288,162.8223,448.7788,14329.3759,118.0461,103.7992,1573.27,332.768,259.498,1380.9362,79.3758,687.924,3856.8521,133.3107,401.9674,1413.5007,17959.2944,88.5346,3423.3379,124.152,65.1289,1511.194,362.2795,74.2877,89.5522,264.5862,381.6147,228.9688,126.1872,839.5522,295.1153,96.6757,602.4423,86.4993,2523.7449,139.4166,962.6866,3706.2415,46.8114,218.7924,20456.5807,1191.6554,5751.6961,383.6499,138.3989,114.9932,1744.2334,4369.7422,169.9457,251.3569,263.5685,6731.6825,633.9891,939.2809,368.3853,2295.7938,38.6703,105.8345,2677.4084,2370.0814,192.3338,1731.0041,169.9457,864.9932,622.7951,51.8996,515.943,122.1167,58133.6499,5583.7856,233.0393,1173.3379,510.8548,206.5807,734.7354,761.194,130.2578,13166.2144,22218.114,716.4179,36120.0814,11122.7951,990.1628,630.9362,143.4871,738.806,562.7544,138.3989,53.9349,1448.1004,238.1275,154.6811,670.6242,4928.4261,218.7924,85.4817,207.5984,148178.4261,805.9701,193.3514,3170.9634,139.4166,261.5332,1639.4166,2015.943,233.0393,763.2293,425.3731,337.8562,1605.8345,113.9756,108.8874,291.0448,6842.6052,800.882,540.3664,5026.1194,87.517,48.8467,6634,105,2607,1103
12,SAT_12,SAT,847.8261,213.9946,106.9973,386.2092,120.2446,307.7446,257.8125,815.2174,139.606,826.4266,539.0625,151.8342,104.9592,1217.731,193.6141,226.2228,767.3234,21840.6929,116.1685,172.2147,1618.2065,514.606,286.3451,2404.8913,117.1875,646.0598,1676.2908,337.2962,151.8342,570.6522,22412.3641,106.9973,841.712,200.7473,105.9783,4406.25,279.212,198.7092,388.2473,179.3478,556.3859,424.9321,118.2065,3515.625,209.9185,95.788,288.3832,137.5679,4315.5571,162.0245,2063.519,9128.3967,31.5897,237.4321,8982.6766,1880.0951,4238.1114,338.3152,201.7663,122.2826,2536.3451,2619.9049,153.8723,263.9266,399.4565,7361.413,625.6793,896.7391,660.3261,2826.7663,85.5978,151.8342,938.519,3644.0217,1131.1141,1958.5598,220.1087,275.1359,467.731,117.1875,284.3071,275.1359,63425.9511,5805.3668,219.0897,677.6495,425.9511,172.2147,9883.4918,1479.6196,112.0924,11171.5353,37515.2853,1658.9674,34115.8288,1589.6739,1516.3043,789.7418,315.8967,5556.7255,560.462,224.1848,388.2473,6471.8071,271.0598,108.0163,481.9973,3933.4239,149.7962,110.0543,664.4022,191800.2717,152.8533,104.9592,104.9592,1415.4212,553.3288,1654.8913,35593.4103,713.3152,2654.5516,510.5299,1268.6821,1892.3234,203.8043,39.7418,142.663,30333.2201,1220.788,381.1141,4650.8152,79.4837,156.9293,8536,40,2740,686
13,SAT_13,SAT,606.0798,160.5446,188.0937,154.8448,123.4959,427.4858,391.387,1223.5592,95.9468,710.5763,1644.3952,131.0956,90.247,1986.3838,122.5459,142.4953,664.9778,14467.0678,84.5472,65.5478,1326.1558,341.9886,216.5928,871.121,81.6973,372.3876,2339.772,248.8917,230.8423,824.5725,13119.0627,120.646,399.9367,132.9956,88.3471,4064.9145,123.4959,76.9474,114.9462,166.2445,182.3939,230.8423,171.9443,991.7669,151.045,169.0944,164.3445,103.5465,2974.3509,91.197,3044.6485,4113.3629,38.9487,224.1925,8539.2654,827.4224,3112.0963,346.7384,105.4465,108.2964,1819.1894,1821.0893,130.1457,102.5966,324.8892,7387.9037,981.3173,814.1229,387.5871,1851.4883,155.7948,105.4465,1853.3882,3059.848,495.8835,754.2749,171.9443,175.7441,292.5902,100.6966,232.7422,229.8923,47869.8543,6420.836,284.9905,1182.7106,371.4376,279.2907,3861.6213,815.0728,61.7479,13540.8486,29167.8277,2809.0564,34866.6878,4342.3053,1102.9132,751.425,55.0982,2400.57,925.2692,228.9424,227.0424,1668.1444,147.2451,107.3464,360.988,2593.4136,184.2939,94.9968,162.4446,160781.1906,357.1881,45.5985,113.9962,1560.798,542.4319,728.6257,2233.3756,153.8949,417.0361,457.8847,336.2888,1103.8632,94.0469,146.2951,308.7397,34768.841,873.0209,518.6827,4989.2337,102.5966,178.594,3893,177,513,416
16,SAT_16,SAT,2481.8702,485.687,304.3893,181.2977,105.916,624.0458,754.771,9789.1221,43.8931,1815.8397,31065.8397,235.687,80.1527,2119.2748,875,257.6336,462.7863,46635.4962,285.3053,151.7176,2108.7786,997.1374,719.4656,2637.4046,59.1603,685.1145,5362.5954,191.7939,245.229,992.3664,24948.4733,74.4275,3385.4962,250,67.7481,4439.8855,357.8244,153.626,690.8397,253.8168,311.0687,272.9008,506.6794,1399.8092,999.0458,125,752.8626,105.916,22636.4504,225.1908,3723.2824,15102.0992,117.3664,735.687,47141.2214,1218.5114,13618.3206,592.5573,122.1374,159.3511,2525.7634,2919.8473,285.3053,1240.458,439.8855,7538.1679,2998.0916,1407.4427,500,14822.5191,307.2519,109.7328,4433.2061,29770.9924,640.2672,7952.2901,451.3359,729.0076,1645.0382,235.687,2384.542,1221.374,67403.626,10601.145,417.9389,6449.4275,791.0305,230.916,3824.4275,3043.8931,332.0611,33389.313,41490.458,1545.8015,39899.8092,6506.6794,3313.9313,4901.7176,76.3359,14671.7557,922.7099,333.9695,145.0382,3486.6412,1038.1679,366.4122,856.8702,11718.5114,367.3664,135.4962,1701.3359,250434.1603,199.4275,147.9008,1823.4733,2328.2443,829.1985,6586.8321,7707.0611,304.3893,1063.9313,207.0611,4053.4351,7307.2519,391.2214,208.9695,252.8626,97121.1832,5408.3969,711.8321,37476.145,184.1603,208.0153,526,156,600,119
17,SAT_17,SAT,554.9793,151.4523,145.2282,219.917,120.332,254.1494,279.0456,1286.3071,102.6971,1250,551.8672,158.7137,125.5187,1404.5643,128.6307,68.4647,750,10470.9544,97.5104,131.7427,1360.9959,350.6224,288.3817,484.4398,124.4813,720.9544,3316.39,139.0041,391.0788,1254.1494,6414.9378,151.4523,367.2199,84.0249,87.1369,3076.7635,634.8548,124.4813,72.6141,429.4606,379.668,187.7593,165.9751,846.473,196.0581,154.5643,185.6846,81.9502,1810.166,97.5104,1483.4025,3009.3361,54.9793,259.3361,10462.6556,1084.0249,3049.7925,586.0996,104.7718,90.249,1654.5643,3036.3071,181.5353,141.0788,391.0788,8285.2697,904.5643,811.2033,437.7593,1502.0747,133.8174,125.5187,3432.5726,2060.166,193.9834,918.0498,161.8257,273.8589,385.8921,150.4149,110.9959,148.3402,56120.3319,6350.6224,304.9793,817.4274,366.1826,226.1411,902.4896,799.7925,199.1701,12094.3983,25266.5975,601.6598,36698.1328,9254.1494,1130.7054,846.473,85.0622,1137.9668,954.3568,114.1079,152.4896,1016.5975,319.5021,98.5477,489.6266,3628.6307,244.8133,79.8755,173.2365,150129.668,290.4564,44.6058,3084.0249,334.0249,450.2075,1108.9212,1090.249,159.751,207.4689,301.8672,337.1369,1294.6058,145.2282,117.2199,310.166,14552.9046,501.0373,613.0705,3558.0913,129.668,100.6224,1099,67,750,729
18,SAT_18,SAT,581.7175,152.7008,123.615,256.5789,95.5679,125.6925,304.3629,542.2438,129.8476,705.3324,920.3601,117.3823,143.3518,1009.6953,108.0332,171.3989,595.2216,7726.4543,78.9474,65.4432,1844.8753,666.8975,226.4543,1361.8421,106.9945,506.9252,2401.662,226.4543,341.759,1027.3546,15449.7922,113.2271,1215.374,238.9197,102.8393,975.4155,98.6842,204.6399,208.795,177.6316,344.8753,329.2936,165.1662,2515.928,181.7867,118.4211,497.5762,58.1717,2723.6842,193.2133,1463.6427,1680.7479,151.662,306.4404,3924.5152,329.2936,3437.3269,273.1994,106.9945,114.2659,2664.4737,312.6731,145.4294,188.0194,261.7729,9485.1108,409.2798,426.9391,459.1413,2171.0526,112.1884,183.8643,2639.5429,3193.2133,608.7258,1600.7618,116.3435,486.1496,449.7922,121.5374,323.0609,292.9363,7289.1274,7648.5457,306.4404,732.3407,625.3463,179.7091,4565.4432,1416.8975,138.1579,11039.1274,38563.7119,1028.3934,39370.8449,6693.9058,1823.0609,1195.6371,156.856,1723.338,1041.8975,156.856,204.6399,1033.5873,384.349,175.554,347.9917,3688.7119,282.5485,177.6316,364.6122,232917.59,322.0222,95.5679,87.2576,1686.9806,342.7978,1113.5734,7809.5568,331.3712,1318.2133,434.2105,392.6593,1394.0443,88.2964,106.9945,228.5319,10525.9695,392.6593,276.3158,4313.0194,138.1579,109.072,3109,100,4405,3804
19,SAT_19,SAT,927.8351,245.3608,319.5876,249.4845,94.8454,419.5876,252.5773,1132.9897,145.3608,917.5258,1918.5567,119.5876,101.0309,1401.0309,158.7629,304.1237,262.8866,22447.4227,100,167.0103,1621.6495,700,319.5876,1051.5464,85.567,386.5979,2728.866,123.7113,284.5361,1391.7526,10644.3299,209.2784,512.3711,169.0722,121.6495,3135.0515,607.2165,121.6495,161.8557,336.0825,311.3402,247.4227,89.6907,1483.5052,313.4021,118.5567,226.8041,110.3093,4893.8144,109.2784,2028.866,7212.3711,139.1753,294.8454,45441.2371,1672.1649,5393.8144,339.1753,131.9588,168.0412,2059.7938,2110.3093,117.5258,459.7938,370.1031,6496.9072,1234.0206,2292.7835,542.268,2930.9278,143.299,90.7216,2660.8247,4745.3608,1238.1443,2301.0309,118.5567,272.1649,303.0928,77.3196,865.9794,281.4433,60346.3918,10542.268,318.5567,1382.4742,386.5979,311.3402,8915.4639,1129.8969,281.4433,23314.433,31235.0516,10643.299,29671.134,3741.2371,1535.0515,1376.2887,203.0928,3143.299,782.4742,255.6701,145.3608,1904.1237,169.0722,126.8041,483.5052,3555.6701,202.0619,88.6598,203.0928,158900,337.1134,179.3814,1877.3196,1171.134,555.6701,1844.3299,3248.4536,174.2268,311.3402,380.4124,1498.9691,3493.8144,195.8763,53.6082,296.9072,33810.3093,1824.7423,967.0103,5974.2268,259.7938,190.7216,12532,14,2447,1136
2,SAT_2,SAT,1157.7718,256.1708,241.1608,277.1848,53.0354,885.5904,270.1801,784.523,47.0314,836.5577,763.509,325.2168,119.0794,590.3936,199.1328,340.2268,511.3409,19807.2048,191.1274,249.1661,1336.8913,536.3576,321.2141,2343.5624,122.0814,386.2575,2580.7205,263.1755,180.1201,983.6558,14725.8172,99.066,2777.8519,254.1694,99.066,2796.8646,125.0834,178.1187,576.3843,325.2168,517.3449,245.1634,330.2201,4310.8739,201.1341,226.1508,495.3302,108.072,13249.8332,98.0654,4307.8719,4268.8459,21.014,260.1734,18292.1948,2392.5951,5179.453,202.1348,158.1054,152.1014,2015.3436,3446.2975,178.1187,814.543,339.2262,7953.3022,2185.457,1887.2582,359.2395,3207.1381,80.0534,320.2135,2069.3796,5441.6278,549.3662,4850.2335,181.1207,879.5864,786.5243,54.036,1199.7999,683.4556,49844.2295,8372.5817,420.2802,672.4483,305.2035,270.1801,3254.1694,2487.6584,137.0914,37810.2068,28463.976,688.459,32880.9206,3681.4543,2529.6865,2639.7598,101.0674,7064.7098,844.563,210.1401,174.1161,2903.936,658.439,71.0474,226.1508,5990.994,6870.5804,161.1074,1738.1588,165157.1047,433.2889,74.0494,337.2248,3318.2121,421.2809,2485.6571,4491.9947,278.1855,1593.062,398.2655,1818.2121,4759.1728,293.1955,45.03,234.1561,27042.028,1464.9767,646.431,7216.8112,104.0694,176.1174,1446,124,523,532
