SampID,Samples,Tissue,Cer (d34:1),Cer (d38:1),Cer (d39:1),Cer (d40:1),Cer (d40:2),Cer (d41:1),FA (18:1),PC (32:1),PC (36:3),PC (36:4) B,PC (38:4),PE (34:1)  B,PE (36:2)  B,PE (38:4)  B,PI (38:4),plasmenyl-PC (34:2),plasmenyl-PC (36:4),plasmenyl-PE (36:2),plasmenyl-PE (36:4),plasmenyl-PE (38:4),SM (d34:1),SM (d36:1),SM (d42:1),SM (d42:2)
1,SAT_1,SAT,22133.497,2850.2323,948.6685,18780.9947,5433.4137,7765.7038,5785.3869,2315.1983,1645.4107,2853.493,1500.0333,1511.7196,1268.0005,2958.0524,5830.0507,3121.2904,2896.8817,1518.0106,8926.1815,5357.0375,11177.0074,1583.8462,796.7859,2048.5933
10,SAT_10,SAT,24233.2327,2866.322,1437.8282,25738.9192,5862.7891,11934.6885,7249.3477,3960.7804,1997.7581,3567.5875,1682.4603,1620.6534,2395.2598,4274.9973,7698.3869,2813.5553,2300.1587,3634.9703,7968.2479,9677.7233,10762.2203,1369.4633,1200.8539,2258.8189
11,SAT_11,SAT,36553.5241,2224.1779,1375.4729,37279.5278,4904.2026,15426.9958,3853.6042,3300.5763,8655.8948,10573.2572,6797.6458,2724.9339,6192.1047,9887.3886,12057.2091,3528.1987,2106.2732,15037.6858,12845.1831,18137.6935,36824.2082,3252.2004,4122.8305,6390.8132
12,SAT_12,SAT,26865.735,4890.1341,1962.884,38544.9325,10597.6518,14970.9331,11865.8553,2328.7743,2193.6197,4328.1657,2559.4995,1842.9915,2910.9544,4889.004,12633.7307,5527.5813,3713.8092,4861.6559,11735.9849,10426.4402,14725.9557,2059.4571,1994.2813,2969.4021
13,SAT_13,SAT,20594.4905,2587.6029,1232.6704,64591.2879,6362.5614,8055.769,7825.4218,4673.812,1795.8564,6699.8155,2442.3364,1536.3186,2034.931,5509.6779,8727.2172,3239.6712,5931.3854,1568.5238,13027.144,8569.4731,11254.11,1469.1943,1665.3341,2557.5092
16,SAT_16,SAT,28265.4729,2957.0918,1706.8281,43739.2648,6666.0499,11405.5668,5495.4823,2713.1899,1916.3867,5977.1932,2815.6176,1569.5497,1675.4348,4294.5369,8805.6341,3271.4525,5568.9708,1942.5035,12876.6233,11820.5181,12138.9706,1548.7392,1726.4036,2854.164
17,SAT_17,SAT,20982.1563,3228.9966,1713.7521,28212.8872,9580.3908,12503.5392,1938.1384,3161.1562,2313.9702,3910.7148,1681.8593,2201.0273,2575.6001,4944.8572,6979.3671,4570.0534,3556.192,3050.0045,11307.0818,7360.7208,9465.5025,1568.1982,1144.7966,1536.3713
18,SAT_18,SAT,16393.6537,2688.0611,999.7876,20033.9678,7962.9392,6712.9361,6061.0739,1841.7378,1311.4517,3335.7522,1649.3432,1006.5442,1563.0727,3228.5565,5755.5256,1517.6417,4500.4374,1163.8146,10970.3269,7121.6544,6526.0147,1034.7403,822.7995,1250.4335
19,SAT_19,SAT,22547.7498,2477.5777,945.35,69500.1631,5718.4567,5169.2673,15034.5265,6510.8673,2338.0399,7305.8513,2679.8223,2002.3485,2177.3578,5179.4593,9757.4114,2498.0065,7919.8209,1363.8344,15236.9562,7483.3372,13592.7734,1786.7211,1967.2927,3846.2039
2,SAT_2,SAT,24879.1214,5168.8952,2007.7642,33719.8461,9807.745,13315.2439,5662.2082,3476.085,1640.195,2206.7365,977.1168,2371.7694,1833.3336,2405.301,5610.8794,2105.9046,2110.2904,1642.9308,8299.2999,5890.7905,8267.2894,1006.8949,900.2936,1909.6136
20,SAT_20,SAT,36792.2061,4330.2014,1730.9142,31127.2444,9169.3801,12190.3884,13496.3228,2854.0365,2688.8596,4527.4304,2831.1323,1547.5288,2665.2507,4342.7522,9591.2301,5893.6122,4902.3972,5169.5295,14385.712,12107.2684,15871.3007,2826.0858,1400.9418,2725.7789
21,SAT_21,SAT,23273.3384,3473.1983,1621.8243,34294.5404,6197.5709,10629.09,8671.7048,2293.9525,1849.1867,4292.7943,2389.8765,1242.0525,1927.1658,4373.2775,9511.444,4423.3712,4446.4647,3651.6237,9889.9959,10210.4307,13338.8718,2078.8154,1334.5896,2140.1253
23,SAT_23,SAT,45516.4926,4027.9187,1782.2001,42546.0717,9122.2725,13293.1328,10151.5198,4825.1452,3968.8078,7185.112,2683.1657,3000.6035,2986.4066,5121.5908,6805.4145,6821.6525,7809.6117,4037.5366,18166.4941,13130.2087,22457.489,2978.1748,1631.4489,4292.4486
24,SAT_24,SAT,24103.8148,3672.6996,915.6035,25751.5574,8312.5198,7975.1166,8050.5114,2365.5604,1279.5526,2457.1193,1223.6974,817.8995,1106.8627,3211.1197,4962.8154,1628.7606,1918.2914,1932.9703,5852.5288,6276.5005,5588.5479,1020.4686,911.9108,969.6593
25,SAT_25,SAT,24162.7014,2506.4647,1617.2564,49005.0779,8667.529,8919.5081,13443.545,5032.7577,2440.5713,4194.6557,1466.2004,2725.5222,2191.3451,4176.3052,12389.242,3702.0954,3785.8577,3029.5206,11893.0645,8916.2231,12757.5022,1410.5397,1134.6757,2334.1881
