Sample,SampleGroup,IS_anthranilic acid C13,kynurenic acid,kynurenine,picolinic acid,quinolinic acid,tryptophan,xanthurenic acid,3-hydroxykynurenine,3-hydroxyanthranilic acid
LN1,LN,1901180.625,1695019.5,330937.875,2.73E+04,578940.75,4179159.75,1919009.375,260100.031,146886.234
LN2,LN,1290541.5,1026495.813,1960924.25,6.07E+04,926085.875,6126803,1133931.625,707363.438,306295.813
LN3,LN,979996.188,3197772,409767.438,6.69E+04,1431871.375,11012026,3455488,462746.188,79343.781
LN4,LN,1536530.625,3255103.75,1850355.75,3.24E+04,1802237.875,4379714.5,949426.063,902969.438,114843.211
LN5,LN,2235643.75,1374735.25,1478305.25,6.60E+04,800778,3040237.5,407688.219,153802.453,337097.5
LN6,LN,1779331.375,2510440.5,3524687.5,204546.234,968650.75,12849191,1847180.25,237458.109,263726.531
LN7,LN,1288080.625,5802144.5,2196252,1.06E+05,1739508.375,12416219,3314296.25,267059.344,22213.359
LN8,LN,1358790.125,3293598,471705.094,4.19E+04,1266152,3489735,1924661.375,219386.5,141252.797
LN9,LN,1121061.75,1822487.625,599880.938,6.46E+04,877198.938,4766431,1993049.875,151525.047,45730.133
LN10,LN,1280714.625,4361517.5,485655.219,1.21E+05,1959576.25,4940324.5,2383883.75,72629.781,247919.0699
LN11,LN,1533695.75,2051399.625,290432.375,5.17E+04,422005.906,4901130.5,1958212.25,95757.898,254540.844
LN12,LN,1850919.875,1009544.625,304012.219,4.75E+04,190756.234,2564815.25,1042984.75,15378.771,2410.034
LN13,LN,761673.563,4333330.5,1159664.875,1.80E+05,1161291.25,13234949,4480121.5,232496.156,310427.188
LN14,LN,1005662.063,4761492.5,953022.188,1.84E+05,2143690.25,11297165,3176836.5,279110.656,1192026.625
LN15,LN,1384282.125,1913030.625,700748.25,7.98E+04,523132.531,10485789,2142884.5,187066.563,215692.016
LN16,LN,2063537.75,701280.563,282035.313,7.19E+04,414385.375,1489918.75,643649.125,72307.773,80433.617
LN17,LN,1362669.125,2563014.5,2115812.5,9.85E+04,1674864.5,6479468.5,2465778.75,59255.648,247919.0699
LN18,LN,961737.375,2627051.25,723438.75,8.63E+04,1479167.25,8936280,1.75E+06,194544.031,282829.594
LN19,LN,582411.313,2191917.25,428026.656,1.10E+05,859047.688,7005438.5,1980673,164411.922,396610.688
LN20,LN,763490.438,2504705.25,90709.727,5.57E+04,743959.813,1465279.5,1.46E+06,58806.453,247919.0699
LN21,LN,1294238.25,3298902.75,726384.438,5.02E+04,1192169.5,7366031.5,6341406,429702.5,151750.031
LN22,LN,1059361.25,1509736,652512.938,7.61E+04,1001750.125,4335741,818995.375,60950.309,19403.498
LN23,LN,1083684.625,6660918,911984.875,6.07E+04,943842.5,7685805,5961938.5,367553.219,204214.875
LN24,LN,747482.25,7361356.5,1823567.5,9.31E+04,2144406.5,7482760,4928261,425600.531,316063.313
LN25,LN,1225412.875,2326448.75,2739194.75,2.51E+05,585568.688,13687567,751254.688,399757.063,231402.344
LN26,LN,1375378,2283117.75,1599209.125,1.30E+05,1178320.875,7518363.5,1999174.25,282181.813,332418.969
LN27,LN,1579197.25,4913000.5,5259977.5,2.13E+05,6113297,14085104,1.03E+06,226777.578,6118.299
LN28,LN,965756.75,3443334.5,1692866.625,6.06E+04,2276586.75,4922335,1906932.5,1203484.875,440474.156
LN29,LN,1303526.625,1455700.375,677454.75,5.53E+04,744178.75,9265389,5.07E+05,181826.359,106658.344
LN30,LN,1003863.375,4267762,2307950.5,6.09E+04,1348025.25,7593910,1991727.25,208346.125,172952.922
LN31,LN,1417894.625,8106121.5,1040086.75,1.03E+05,2036965.5,15012138,6.90E+06,363140.625,489831.938
LN32,LN,1987044.375,1141008.75,487811.031,1.06E+05,449250.219,2847310.75,1702094.25,19284.859,4109.445
LN33,LN,961185.688,3393450.25,1418964,5.99E+04,871730.313,13646388,1374500.625,252212.406,148821.516
LN34,LN,1762401.125,10020327,736723.688,1.80E+05,3043146.5,11599835,5734805,270631.094,151019.234
LN35,LN,1503222.875,2118121,690409.563,5.09E+04,655678.563,5335938,1598109.125,139580.281,247919.0699
LN36,LN,975131.313,2155819.25,1949099.375,1.01E+05,3780415.25,12099718,8.06E+05,486833.656,384711.875
LN37,LN,1831578.625,2572185.5,2067860.375,6.85E+04,1107190.25,5876156.5,4040296.75,342381.469,555395.75
LN38,LN,801046.25,5345938,534236.375,7.46E+04,1183827.875,12356155,3734497.75,141523.438,247919.0699
LN39,LN,1011447.313,4943054.5,1174203.125,3.22E+04,1047926,10575650,7601532.5,88158.484,247919.0699
LN40,LN,1598907.125,6012148,1652004,8.85E+04,2837203,1791718.25,2542372.25,309052.938,351886.625
LN41,LN,1442934.25,2803750.25,405155.781,1.40E+05,1569973.25,5964789,2290180.25,128541.805,247919.0699
LN42,LN,1522068.25,1980883.875,854528,9.24E+04,731835.375,6139741,1.36E+06,110311.484,235663.063
LN43,LN,1365074.25,1530207.625,683688.938,6.58E+04,715582.688,3135286.5,1584484.875,281589.406,182191.984
